,title,genre,synopsis,producer,studio,rating,scoredby,members,source,aired
1909,Tantei Opera Milky Holmes Alternative,"Comedy, Mystery, Super Power","Milky Holmes is a detective team composed of four girls who descended from famous detectives and possess supernatural powers known as ""Toys"". In this alternative world, instead of losing their Toys and becoming worthless students, they are on the path to becoming successful detectives. Under the guidance of Kobayashi Opera, they work to solve mysteries. 
 
(Source: AniDB)","Sotsu, Bushiroad, Chrono Gear Creative","J.C.Staff, Artland",6.57,1765,4298,Card game,"Aug 18, 2012 to Dec 9, 2012"
1910,Hayate no Gotoku! Cant Take My Eyes Off You,"Comedy, Harem, Parody, Shounen","Taking place one month after the events that occurred in the movie Heaven is a Place on Earth. Living at the Sanzenin Mansion once again, Nagi returns to her old ways of life, until she receives word from American authorities informing her that she has a week to pick up her late father's belongings that was indefinitely delayed due to various circumstances. After receiving news of her father whom she doesn't remember, Nagi then meets a mysterious girl (with a hidden agenda) claiming to be Nagi's little sister. 
 
The series tells a new story that is original to the anime and not directly based on the manga. The main author of the original series Kenjiro Hata personally created the original concept for the story of this anime.  
 
(Source: Hayate no Gotoku! Wikia)","TV Tokyo, Geneon Universal Entertainment, Shogakukan Productions",Manglobe,7.1,17724,37169,Manga,"Oct 4, 2012 to Dec 20, 2012"
1911,Chuunibyou demo Koi ga Shitai!,"Slice of Life, Comedy, Drama, Romance, School","Everybody has had that stage in their life where they have thought themselves to be special, different from the masses of ordinary humans. They might go as far as seeing themselves capable of wielding mystical powers, or maybe even believe themselves to have descended from a fantasy realm. This ""disease"" is known as ""chuunibyou"" and is often the source of some of the most embarrassing moments of a person's life. 
 
For Yuuta Togashi, the scars that his chuunibyou has left behind are still fresh. Having posed as the ""Dark Flame Master"" during his middle school years, he looks back at those times with extreme embarrassment, so much so that he decides to attend a high school far away where nobody will recognize him. Putting his dark history behind him, he longs to live a normal high school life. 
 
Unfortunately, he hasn't escaped his past yet: enter Rikka Takanashi, Yuuta's new classmate and self-declared vessel of the ""Wicked Eye."" As this eccentric young girl crashes into Yuuta's life, his dream of an ordinary, chuunibyou-free life quickly crumbles away. In this hilarious and heartwarming story of a boy who just wants to leave his embarrassing memories behind, the delusions of old are far from a thing of the past. 
 
[Written by MAL Rewrite]","Lantis, Pony Canyon, TBS, Rakuonsha, Animation Do",Kyoto Animation,7.89,321929,559895,Light novel,"Oct 4, 2012 to Dec 20, 2012"
1912,GJ-bu,"Comedy, School, Slice of Life","School clubs usually advertise their activities, but the goings-on of the GJ Club are a mystery. Kyouya ""Kyoro"" Shinomiya recently joined and became the sole male member of the five-person club. 
 
Besides Kyoro, there is Mao Amatsuka, the club president who has a tendency to bite Kyoro when she gets mad or bashful; Megumi Amatsuka, Mao's composed younger sister who always makes tea and desserts for the club's members; Shion Sumeragi, a demure chess prodigy; and Kirara Bernstein, a meat lover with a strong feline personality. All four girls have some form of interest in Kyoro. 
 
With the girls' idiosyncratic and cute personalities, Kyoro's time in  GJ-bu  will never be a dull one, for better or for worse. 
 
[Written by MAL Rewrite] 
","VAP, DAX Production, Nippon Television Network",Doga Kobo,7.44,49630,110539,Light novel,"Jan 10, 2013 to Mar 28, 2013"
1913,Eureka Seven AO Jungfrau no Hanabana-tachi,"Action, Adventure, Drama, Mecha, Sci-Fi","An original video anime, released on Blu-ray in a combined Hybrid Disc that also hold an Eureka Seven AO game for the PlayStation 3.  
 
The OVA is set between episodes eight and nine of the series. ","Bandai Visual, Project Eureka AO",Bones,6.36,3307,7926,Manga,"Sep 20, 2012"
1914,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,"Slice of Life, Supernatural, Drama","A year after their deceased friend Honma Meiko appeared to them, Jinta Yadomi and the other members of the Super Peace Busters decide to write letters in her memory. Attempting to enjoy their summer together, they reminisce about their time together before and after her death. 
 
 AnoHana. Movie  retells the main events of the parent story in the perspective of each member of the Super Peace Busters. 
 
[Written by MAL Rewrite]",Aniplex,A-1 Pictures,8.13,63249,132867,Original,"Aug 31, 2013"
1915,Initial D Fifth Stage,"Action, Cars, Sports, Drama, Seinen","Taking place in the sacred land of street running Kanagawa, once more Takumi Fujiwara will show his driving skills in his now legendary Hachi-roku. ","Avex Entertainment, Animax",SynergySP,8.15,24095,46099,Manga,"Nov 4, 2012 to May 10, 2013"
1916,Amnesia,"Harem, Mystery, Romance, Fantasy, Josei","After fainting at work, a young lady awakens in the back room of the café she works at with no memory of her life or those around her. Two of her friends, whom she soon learns are named Shin and Toma, are called to help her get home safely. Once she is alone, she meets a spectral boy named Orion that only she can see and hear. He explains that she lost her memories because of his chance visit to her world, so he vows to help her remember who she is. 
 
However, regaining her departed memories without worrying those around her may be more difficult than she realizes. In addition to the gloomy Shin and the protective Toma, she must be wary of arousing the suspicions of the captivating Ikki, the quick-witted Kent, and a mysterious man who lurks in the distance. As her amnesia entangles her in the lives of each of these men, her fragmented memories return piece by piece, and the mysteries of her circumstances slowly come to light. 
 
[Written by MAL Rewrite]","Geneon Universal Entertainment, Frontier Works, Movic, AT-X, DAX Production, Showgate",Brain039;s Base,6.33,85172,171881,Visual novel,"Jan 7, 2013 to Mar 25, 2013"
1917,Cuticle Tantei Inaba,"Action, Mystery, Comedy, Supernatural, Shounen","In a world where half-human, half-animal chimeras live and work alongside normal people, there are sure to be a few bad apples in the bunch. Unfortunately, half-human criminals means non-human clues that often leave the police stumped. That's where lone wolf detectives like Hiroshi Inaba come in. He's literally part wolf and has the amazing ability to extract critical information just by examining or tasting a sample of someone's hair! Of course, that ability has also resulted in Inaba having a little bit of a hair fetish, but that doesn't seem to be a problem for his two assistants. (Well, at least the cross-dressing one isn't complaining much.) And it's nothing compared to the strange tastes of Inaba's nemesis, the omnivorous (and half goat) crime boss Don Valentino, who has an appetite for green legal tender instead of tender young greens! Inaba's sworn to cut Valentino out of the criminal flock before the Don can wolf down more ill-gotten dough, but he's going to have to chew his way through a lot of evidence to get his goat. Can sheer dogged detective work put the baaaaad guys behind bars? 
 
(Source: Sentai Filmworks)","Frontier Works, Media Factory, AT-X, Showgate, BIGLOBE",Zexcs,7.41,23722,64401,Manga,"Jan 4, 2013 to Mar 22, 2013"
1918,Hetalia The Beautiful World,"Comedy, Historical, Parody",The fifth season of  Hetalia .,Frontier Works,Studio Deen,7.86,20184,44891,Web manga,"Jan 25, 2013 to Jun 21, 2013"
1919,Code Geass Boukoku no Akito 2 - Hikisakareshi Yokuryuu,"Action, Mecha, Military","With her previous triumphs under her belt, Leila Malcal has now been promoted to Lieutenant Colonel and commanding officer of W-0. After having foiled an attempt to kidnap the General of the European army, she recruits the three perpetrators in order to make up for the lack of W-0's pilots. Ayano Kosaka, Yukiya Naruse, and ringleader Ryou Sayama accept, in hopes of finding a place to belong. When they are ordered to perform a commando raid by dropping into enemy lines, Leila decides to join them to prevent unnecessary casualties. 
 
As the unit rushes into the fight, Akito finds himself possessed by an uncontrollable lust for violence, slaughtering anyone that gets in his way. Little does he know, he is soon to come face to face with the one responsible for placing the bloodthirsty curse upon him, someone he is far too familiar with... 
 
[Written by MAL Rewrite]","Bandai Visual, Bandai, Bandai Namco Entertainment, Hakuhodo DY Media Partners",Sunrise,7.73,41658,80932,Original,"Sep 14, 2013"
1920,Code Geass Boukoku no Akito 3 - Kagayaku Mono Ten yori Otsu,"Action, Mecha, Military","After discovering the face of their true enemy—someone who is related to Akito and responsible for the Geass placed upon him—W-0 attempts to return to their base at Castle Weisswolf. However, stranded in Warsaw due to a complication involving their military identification, they are forced to accept the help of local gypsies, allowing the squad to take some time to deepen their bonds. 
 
Meanwhile, Britannian advisor Julius Kingsley and his guard Suzaku Kururugi begin working together with the Knights of St. Michael in order to crush the European resistance once and for all, armed with the destructive power of a giant weapon known as the Ark Fleet. 
 
[Written by MAL Rewrite]","Bandai Visual, Bandai, Bandai Namco Entertainment, Hakuhodo DY Media Partners",Sunrise,7.49,27767,62884,Original,"May 2, 2015"
1921,Code Geass Boukoku no Akito 4 - Nikushimi no Kioku kara,"Action, Mecha, Military","While W-0 is away, Leila and the remaining crew at base find themselves surrounded by Britannian Knightmares. Piloting the Vercingetorix, Shin Hyuuga leads the enemy charge, having usurped the position of Grand Master in the Knights of St. Michael. With her core members unavailable, it's up to Leila to protect her comrades, but this may be much tougher than she realizes: a spy lurking among them is finally ready to reveal himself. 
 
Left with no choice but to surrender, Leila arranges a meeting with Shin in order to ensure the safety of her squad. But as negotiations begin to fall apart, Akito and an unexpected ally return in the nick of time to turn things around. 
 
[Written by MAL Rewrite]","Bandai Visual, Bandai, Bandai Namco Entertainment, Hakuhodo DY Media Partners",Sunrise,7.43,22733,56177,Original,"Jul 4, 2015"
